Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2043.0;1.2288871657789176e-8;73.59081627661097;70.00226866253362;138.25266138172304;1.0571617054664172e-10;19.5350166843233;8.637300223986596;8.80200990884775;1.7169469789480956;0.0;0.0;0.0;0.0;3.079053565927929;0.0;0.0
2044.0;1.3928108496838137e-8;75.93420903627126;68.65226866269691;140.79555070597422;1.1576981122130301e-10;20.157080944158686;9.124541805583213;9.358216543064444;1.7247389925899752;0.0;0.0;0.0;0.0;3.1019864337935954;0.0;0.0
2045.0;1.5818769470034458e-8;78.45906859035398;69.89691960619182;156.28784414945363;1.2354603710335038e-10;20.827316389422116;9.322139597750716;10.1731314493833;1.7093142377292843;0.0;0.0;0.0;0.0;3.0928954245557034;0.0;0.0
2046.0;1.7985879487831544e-8;80.66647922662467;69.89691960624279;159.12968005773675;1.2254116862232786e-10;21.413283576502025;10.198637324005738;10.330350479976216;1.7212865359920864;0.0;0.0;0.0;0.0;3.118250860406739;0.0;0.0
2047.0;2.0480241305845098e-8;82.72002765402088;69.89691960627043;172.21691136536467;1.193190222391729e-10;21.958407340861836;10.96348504983001;10.718573787177213;1.6748356094539794;0.0;0.0;0.0;0.0;3.0481043532325423;0.0;0.0
2048.0;2.3359473385631138e-8;84.93002349289084;69.89691960629087;172.21691142587503;1.1674634897171127e-10;22.545060781721247;11.62016747152108;11.17496454137654;1.6194824051247936;0.0;0.0;0.0;0.0;2.9660681883033444;0.0;0.0
2049.0;2.670030057890585e-8;87.68074098171941;69.89691960630775;172.21691145899493;1.1655335836216696e-10;23.27525124238753;12.171074283427265;11.48173201277095;1.620487311127;0.0;0.0;0.0;0.0;2.964023029728273;0.0;0.0
2050.0;3.058184874485285e-8;90.53299230965487;69.89691960632244;172.21691147487346;1.159914332584728e-10;24.03239432215959;12.66519007764758;11.902917779747899;1.6148156461775542;0.0;0.0;0.0;0.0;2.95159079467674;0.0;0.0
2051.0;3.509941725162121e-8;89.94127779390791;69.896919606336;172.21691148449082;1.1461683782887073e-10;23.875321014338738;12.847863272112999;12.095520575145802;1.600654909247;0.0;0.0;0.0;0.0;2.9171490282402868;0.0;0.0
2052.0;4.0367073722578377e-8;89.35846647996419;69.89691960634885;172.2169114912841;1.144086488982358e-10;23.720611101876354;12.99018495342211;12.209847573549697;1.6146948771932563;0.0;0.0;0.0;0.0;2.893027807501144;0.0;0.0
2053.0;4.650365851529106e-8;89.3515465369336;69.89691960636246;172.21691149635905;1.1432910059694098e-10;23.71877417142541;13.01410246139595;12.311083538352477;1.6425552413934;0.0;0.0;0.0;0.0;2.8811451794536955;0.0;0.0
2054.0;5.359931978673993e-8;90.43190753442356;69.89691960637883;172.21691149641438;1.1477646468252521e-10;23.920796865699774;13.014030550166444;12.23115580580947;1.7061943647811861;0.0;0.0;0.0;0.0;2.9060740649717838;0.0;0.0
2055.0;6.159729665976248e-8;91.25793973262905;69.89691960640934;172.04241549146454;1.1590130574377341e-10;24.125046908470768;12.841743658735057;12.13029171056583;1.8192046170213436;0.0;0.0;0.0;0.0;2.9531053663711084;0.0;0.0
2056.0;7.001610964557649e-8;92.34266288470907;69.89691960615906;143.89405973851888;1.172091650377007e-10;24.30725536546055;12.716073981824108;11.950060269263975;1.9661369811105787;0.0;0.0;0.0;0.0;3.0097934991584885;0.0;0.0
2057.0;7.771641992691214e-8;92.85762549943634;63.753298566539236;146.75415512668414;1.187387400129471e-10;24.40784382554611;12.56505337705288;11.85142783299162;2.134962579092681;0.0;0.0;0.0;0.0;3.0526618519113966;0.0;0.0
2058.0;8.355307208989916e-8;93.18095553955219;58.04977314825294;137.2098224979692;1.208444214180054e-10;24.56556069619745;12.287506005553917;11.670836976870353;2.355717787324923;0.0;0.0;0.0;0.0;3.118343658047059;0.0;0.0
2059.0;8.761731497264972e-8;94.86159649034374;55.93475874179281;129.82700475638035;1.2366560804886776e-10;25.029114399862635;11.797436884785965;11.281649415810064;2.628397418451408;0.0;0.0;0.0;0.0;3.196340349601552;0.0;0.0
2060.0;8.749786910773177e-8;94.16177306664261;54.73274479991373;125.6014546793622;3.0655709285876307e-10;24.99122862443601;11.130697029050276;10.40543082360675;3.2710098234599823;0.0;0.0;0.0;0.0;3.598880213239616;0.0;0.0
