scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;EUA_2022;CumulativeEmissions;TotalCost
16;ref;3238;399.4788225;0.76737378;0.005434322;0.041036605;0.008857879;0.025899076;0.001833057;0.017688582;0.617864355;0.040619406;0.007101728;0.01587354;0.001945233;0.009524078;0.424254446;83.63068244;13362.38329;2.14E+06
17;ref;3290;375.6766553;0.761825959;0.009024164;0.038436393;0.020031138;0.02606899;0.001311511;0.016762352;0.427173028;0.039833722;0.010497121;0.028191619;0.000310298;0.004907253;0.424254446;83.64980772;13361.32493;2.14E+06
18;ref;10000;1721.887807;0.598003969;0.101269419;0.036962044;0.540900193;0.010169112;1.55E-05;0.001743967;1.977864082;0.06036358;1.389313584;0.015750556;1.65E-05;0.001951704;0.424254446;83.62152039;13358.38527;2.14E+06
19;ref;3236;384.024161;0.759276226;0.04460424;0.041311274;0.026245411;0.023376083;0.001366173;0.015478519;0.862360395;0.038236847;0.035168821;0.017987557;0.000323031;0.003896999;0.424254446;83.63060316;13363.45467;2.14E+06
20;ref;5201;626.1124019;0.979980958;0.036597934;0.026485544;0.012758246;0.016494829;0.001058499;0.033166542;1.644109359;0.023288147;0.023798536;0.011278632;0.002334455;0.008005741;0.424254446;87.95201747;13204.83927;2.13E+06
21;ref;5011;611.0168246;1.319003576;0.061062152;0.029074813;0.023905351;0.016493823;0.008530535;0.037014427;0.773827337;0.021100041;0.043536991;0.012175972;0.00749691;0.009074558;0.424254446;87.94031879;13203.22447;2.13E+06
22;ref;4228;523.7899259;1.095773876;0.080964183;0.025645025;0.038706456;0.016490901;0.0013509;0.06872057;2.640868369;0.023503184;0.031075583;0.010683898;0.00066942;0.072865293;0.424254446;87.97723534;13201.46439;2.13E+06
23;ref;4366;522.4551985;1.456635618;0.053136642;0.026180936;0.005941424;0.0164658;0.0011221;0.054982142;0.847352395;0.019328035;0.005807235;0.009367707;0.001322486;0.125246521;0.424254446;87.95576776;13202.49726;2.13E+06
24;ref;10000;1451.463449;1.316340019;0.177396428;0.034239132;0.484193897;0.024108652;9.13E-05;0.01174276;3.089509378;0.056305397;1.517792978;0.041662416;0.000217138;0.012104849;0.424254446;87.96790509;13194.54577;2.13E+06
24;ref;10000;1613.083842;1.62619056;0.133884072;0.037126679;0.493423712;0.023061508;0.000115046;0.011078549;2.373573477;0.048416152;1.561623619;0.033861691;8.37E-05;0.002213541;0.424394031;88.00573892;13196.23709;2.13E+06
