scen_number;MSR;RES_target_2030;H2_demand_2030;H2_demand_2050;CNH2_cap_target_2024;CNH2_cap_target_2030;CNH2_demand_2024;CNH2_demand_2030;gamma;max_em_change;Additionality_pre_2030;Additionality_post_2030;H2_balance;ref_scen_number;sensitivity;remarks
47;YES;0.45;20;50;6;100;1;10;3;10;Monthly;Monthly;Yearly;43;NO;
48;YES;0.45;20;50;6;100;1;10;3;10;Daily;Daily;Yearly;43;NO;
49;YES;0.45;20;50;6;100;1;10;3;10;Hourly;Hourly;Yearly;43;NO;
50;YES;0.45;20;50;6;100;1;10;3;10;NA;NA;Monthly;43;NO;
51;YES;0.45;20;50;6;100;1;10;3;10;Yearly;Yearly;Monthly;43;NO;
52;YES;0.45;20;50;6;100;1;10;3;10;Monthly;Monthly;Monthly;43;NO;
53;YES;0.45;20;50;6;100;1;10;3;10;Daily;Daily;Monthly;43;NO;
54;YES;0.45;20;50;6;100;1;10;3;10;Hourly;Hourly;Monthly;43;NO;
55;YES;0.45;20;50;6;100;1;10;3;10;NA;NA;Daily;43;NO;
56;YES;0.45;20;50;6;100;1;10;3;10;Yearly;Yearly;Daily;43;NO;
57;YES;0.45;20;50;6;100;1;10;3;10;Monthly;Monthly;Daily;43;NO;
58;YES;0.45;20;50;6;100;1;10;3;10;Daily;Daily;Daily;43;NO;
59;YES;0.45;20;50;6;100;1;10;3;10;Hourly;Hourly;Daily;43;NO;
60;YES;0.45;20;50;6;100;1;10;3;10;NA;NA;Hourly;43;NO;
61;YES;0.45;20;50;6;100;1;10;3;10;Yearly;Yearly;Hourly;43;NO;
62;YES;0.45;20;50;6;100;1;10;3;10;Monthly;Monthly;Hourly;43;NO;
63;YES;0.45;20;50;6;100;1;10;3;10;Daily;Daily;Hourly;43;NO;
64;YES;0.45;20;50;6;100;1;10;3;10;Hourly;Hourly;Hourly;43;NO;
