Hour;EOM_price;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;PROD_Biomass;PROD_SPP_lignite;PROD_Solar;PROD_ICE;PROD_WindOffshore;PROD_WindOnshore;PROD_Nuclear;PROD_CCGT_old;PROD_CCGT_new;PROD_SPP_coal;PROD_OCGT
5315.0;5.335958251467424;-0.05032004713621942;-0.08341867563770915;-0.06009452792727174;0.0;0.0;0.11202501032807248;0.0;0.0027447338554300003;0.009885565123954254;0.0;0.0;0.0;0.0;0.0
5316.0;5.320641497006659;-0.05032004713621942;-0.0833578175570949;-0.06009452792727174;0.0;0.0;0.1184887588695273;0.0;0.002240798789250694;0.010552151864299138;0.0;0.0;0.0;0.0;0.0
5317.0;5.317125354074408;-0.05032004713621942;-0.08378826574955416;-0.06009452792727174;0.0;0.0;0.11927599686880751;0.0;0.0016879378723532864;0.011730073147779272;0.0;0.0;0.0;0.0;0.0
5318.0;5.316821035918799;-0.05032004713621942;-0.08476693252581541;-0.06009452792727174;0.0;0.0;0.11815287087889981;0.0;0.0015166977901376823;0.012911555118987847;0.0;0.0;0.0;0.0;0.0
5319.0;5.335306127790488;-0.05032004713621942;-0.08328522168742951;-0.06009452792727174;0.0;0.0;0.1091489678077685;0.0;0.0018738556694689627;0.014014698958403838;0.0;0.0;0.0;0.0;0.0
5320.0;5.373737649912038;-0.05032004713621942;-0.07771767286582855;-0.06009452792727174;0.0;0.0;0.09404239662536618;0.0;0.0019863849038355232;0.013934936629824472;0.0;0.0;0.0;0.0;0.0
5321.0;5.434923890588405;-0.05032004713621942;-0.06682396524058634;-0.06009452792727174;0.0;0.0;0.07061839343348789;0.0;0.0019081037215640726;0.01398478821570074;0.0;0.0;0.0;0.0;0.0
5322.0;5.496225767897125;-0.05032004713621942;-0.055801866898045664;-0.06009452792727174;0.0;0.0;0.04714190814701913;0.0;0.0019521368621364453;0.013950604099709562;0.0;0.0;0.0;0.0;0.0
5323.0;5.55766471209501;-0.05032004713621942;-0.04629957361956893;-0.06009452792727174;0.0;0.0;0.023619237818174925;0.0;0.001864070589184843;0.013615886532779939;0.0;0.0;0.0;0.0;0.0
5324.0;5.598826131042538;-0.05032004713621942;-0.04183264912667669;-0.06009452792727174;0.0;0.0;0.007675045167449058;0.0;0.0014824498318707431;0.013378735516105453;0.0;0.0;0.0;0.0;0.0
5325.0;5.609228784341868;-0.05032004713621942;-0.04160546089227864;-0.06009452792727174;0.0;0.0;0.002082506681327195;0.0;0.0015949789877988936;0.014456953627796015;0.0;0.0;0.0;0.0;0.0
5326.0;5.606259159720981;-0.05032004713621942;-0.04691402235685846;-0.06009452792727174;0.0;0.0;0.0014422197216686233;0.0;0.0016634750056672913;0.014885677057237753;0.0;0.0;0.0;0.0;0.0
5327.0;5.601335037963008;-0.05032004713621942;-0.056080220646839984;-0.06009452792727174;0.0;0.0;0.001393935818487125;0.0;0.001423738905239258;0.014814460561952533;0.0;0.0;0.0;0.0;0.0
5328.0;5.595289004907271;-0.05032004713621942;-0.06600314566583367;-0.06009452792727174;0.0;0.0;0.0013918367225990633;0.0;0.0012720690856288254;0.01489351085736062;0.0;0.0;0.0;0.0;0.0
5329.0;5.354678928541355;-0.05032004713758078;-0.09414013953238894;-0.060094527931579995;0.0;0.0;0.00043665461808515096;0.0;0.05690552840663477;0.03959282438364357;0.0;0.0;0.0;0.0;0.0
5330.0;5.341565505913465;-0.05032004713758078;-0.09414013954260135;-0.060094527931579995;0.0;0.0;0.00022042660167027897;0.0;0.05622056802251691;0.038822973783987566;0.0;0.0;0.0;0.0;0.0
5331.0;5.344411749986367;-0.05032004713758078;-0.09414013954093514;-0.060094527931579995;0.0;0.0;0.00010916371406788867;0.0;0.05321163504794008;0.03897324083558762;0.0;0.0;0.0;0.0;0.0
5332.0;5.378861622997303;-0.05032004713758078;-0.09414013945106313;-0.060094527931579995;0.0;0.0;0.00010706438392319038;0.0;0.04991404007040385;0.03870831530617695;0.0;0.0;0.0;0.0;0.0
5333.0;5.431552575089103;-0.05032004713758078;-0.08673186331531776;-0.060094527931579995;0.0;0.0;0.00010916371515782453;0.0;0.045197598797937645;0.03873965050670961;0.0;0.0;0.0;0.0;0.0
5334.0;5.466542400637281;-0.05032004713758078;-0.06195295910438226;-0.060094527931579995;0.0;0.0;0.00026031341824554857;0.0;0.03639585810159836;0.038798048186785394;0.0;0.0;0.0;0.0;0.0
5335.0;5.475578471807543;-0.05032004713758078;-0.045413123176970584;-0.060094527931579995;0.0;0.0;0.0024687781512193565;0.0;0.035984881856320726;0.03753680349575916;0.0;0.0;0.0;0.0;0.0
5336.0;5.433138191945432;-0.05032004713758078;-0.04728594102808489;-0.060094527931579995;0.0;0.0;0.01716598594094101;0.0;0.04057411626529563;0.03612529214449122;0.0;0.0;0.0;0.0;0.0
5337.0;5.353856089988667;-0.05032004713758078;-0.06017596183523799;-0.060094527931579995;0.0;0.0;0.0504944919508722;0.0;0.04121993605566874;0.032816572529305914;0.0;0.0;0.0;0.0;0.0
5338.0;5.258199286937861;-0.05032004713758078;-0.07939009375411744;-0.060094527931579995;0.0;0.0;0.08666545165819696;0.0;0.04246754242503016;0.03147200456095168;0.0;0.0;0.0;0.0;0.0
5339.0;5.2064416970859195;-0.05032004713758078;-0.08767758424571896;-0.060094527931579995;0.0;0.0;0.10956043101254502;0.0;0.040461587107041216;0.030609572687014662;0.0;0.0;0.0;0.0;0.0
5340.0;5.1768346452932565;-0.05032004713758078;-0.09262399424897973;-0.060094527931579995;0.0;0.0;0.1200527382249564;0.0;0.039840230192591766;0.03219271586885687;0.0;0.0;0.0;0.0;0.0
5341.0;5.116179129643966;-0.05032004713758078;-0.09414013957018316;-0.060094527931579995;0.0;0.0;0.1199414753377975;0.0;0.04843159022103217;0.031668562249652116;0.0;0.0;0.0;0.0;0.0
